external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Rpl31,ENSMUSG00000073702,0.271246561,0.184446056,0.514667119,0.278486875,0.172996802,0.962016865,-0.040954745,0.841180936,0.988361655,-0.033714432,0.868968154,1,0
Eif4ebp2,ENSMUSG00000020091,0.75501039,0.014473055,0.139833421,-0.164243356,0.594836116,1,0.74705896,0.015551688,0.389156335,-0.172194787,0.577081177,1,0
Hadhb,ENSMUSG00000059447,0.282482412,0.223872257,0.563777303,0.228317184,0.325518869,0.988173535,-0.095373427,0.68132304,0.970751507,-0.149538655,0.519617254,1,0
Ppm1a,ENSMUSG00000021096,0.688807675,0.016537963,0.150193558,0.125276464,0.662933824,1,0.425844292,0.138407597,0.720397221,-0.137686919,0.631895182,1,0
Crip1,ENSMUSG00000006360,-0.664222355,0.086702991,0.354267967,0.866710061,0.025372135,0.872610853,-1.115390575,0.004018894,0.215193513,0.41554184,0.283774592,1,0
Thbs4,ENSMUSG00000021702,-0.369541779,0.490835462,0.793510613,2.12188984,7.63E-05,0.073606061,-1.126951864,0.035625747,0.525410084,1.364479755,0.010971722,1,0
Tpm3,ENSMUSG00000027940,0.352102196,0.390278674,0.721299618,0.94544143,0.021064018,0.841522917,-0.387707453,0.344126654,0.875296304,0.205631781,0.615876597,1,0
Pdhb,ENSMUSG00000021748,0.424997482,0.071895416,0.322468385,0.29956036,0.204466182,0.967822701,-0.216532059,0.359084885,0.8834979,-0.341969182,0.147518919,1,0
Eef1b2,ENSMUSG00000025967,0.390600797,0.155401527,0.475401072,0.387514006,0.158720868,0.962016865,0.048308134,0.860523741,0.990920486,0.045221343,0.86936077,1,0
Eif3h,ENSMUSG00000022312,0.385931944,0.066024268,0.308518236,0.418903395,0.046022508,0.94031861,-0.010284599,0.960928329,0.998007965,0.022686852,0.913954674,1,0
Serbp1,ENSMUSG00000036371,0.605211547,0.014406939,0.13944028,0.289010562,0.242684865,0.974532838,0.298168679,0.228006891,0.798625037,-0.018032307,0.941888984,1,0
Rnf11,ENSMUSG00000028557,0.595703576,0.045327519,0.254103394,0.220356573,0.459105216,1,0.331893153,0.264787191,0.82367073,-0.04345385,0.883925891,1,0
Rpl37a,ENSMUSG00000046330,0.137918057,0.566738042,0.839243951,0.439252884,0.068044363,0.962016865,-0.278221174,0.247817233,0.812814642,0.023113652,0.92350941,1,0
Rab10,ENSMUSG00000020671,0.945936454,0.007132892,0.094367502,0.161050492,0.646933012,1,0.615307869,0.080094016,0.646626194,-0.169578093,0.629605293,1,0
Rpl15,ENSMUSG00000012405,0.329795437,0.266599442,0.608992131,0.397527811,0.180553283,0.964324095,-0.034044173,0.908699208,0.994666512,0.0336882,0.909652657,1,0
Lum,ENSMUSG00000036446,-0.19718489,0.599773179,0.85602775,1.110767343,0.00311748,0.530708085,-0.75941629,0.043284449,0.558288509,0.548535942,0.144379509,1,0
Ctbp1,ENSMUSG00000037373,0.606389634,0.019690144,0.163822943,0.163351998,0.529902851,1,0.35973097,0.166521559,0.745824385,-0.083306666,0.748691895,1,0
Calm2,ENSMUSG00000036438,0.267887262,0.315392502,0.65678996,0.44769414,0.093408834,0.962016865,-0.029072939,0.913238155,0.995015457,0.150733938,0.572160361,1,0
Rab2a,ENSMUSG00000047187,0.686386633,0.006802592,0.091396224,0.264025105,0.297976232,0.982391778,0.398410787,0.116219648,0.693774121,-0.023950741,0.924778098,1,0
Mgst3,ENSMUSG00000026688,0.469873715,0.037685496,0.23206604,-0.066519129,0.768535034,1,0.049937775,0.825181163,0.986184468,-0.48645507,0.031392931,1,0
Selenot,ENSMUSG00000075700,0.673973991,0.017966959,0.1562944,0.19602427,0.491356949,1,0.348782133,0.220746083,0.794618444,-0.129167588,0.650221694,1,0
Dld,ENSMUSG00000020664,0.434216971,0.098674629,0.377485371,0.151651245,0.564080942,1,0.00042499,0.998710389,1,-0.282140737,0.283247965,1,0
Psmd2,ENSMUSG00000006998,0.543338709,0.015446014,0.144587113,0.139883822,0.533060681,1,0.336363719,0.133854388,0.714168244,-0.067091167,0.764941818,1,0
Gm10123,ENSMUSG00000062933,-0.134189187,0.856275753,0.961565634,0.14369007,0.846211974,1,-0.616901491,0.405043526,0.904106051,-0.339022235,0.647232117,1,0
Idh3g,ENSMUSG00000002010,0.501369268,0.029874753,0.204119885,0.313930795,0.173892439,0.963672071,0.076857212,0.739185247,0.975620311,-0.110581262,0.631963811,1,0
Tmem120a,ENSMUSG00000039886,-0.260116901,0.433822033,0.752568125,-0.069076119,0.835302506,1,-0.499215964,0.133086039,0.713268398,-0.308175181,0.35362524,1,0
Rapgef1,ENSMUSG00000039844,0.627778127,0.056010957,0.28501376,0.107981879,0.74240719,1,0.362209659,0.27023121,0.827063886,-0.157586589,0.631465971,1,0
Mapkapk2,ENSMUSG00000016528,0.640354241,0.073657523,0.326210597,0.544885451,0.128044624,0.962016865,0.231933322,0.517061887,0.941181856,0.136464532,0.703100812,1,0
Rpl27,ENSMUSG00000063316,0.398824552,0.013705079,0.135479313,0.38514735,0.017305693,0.820671239,0.005270249,0.97401425,1,-0.008406953,0.958567865,1,0
Norad,ENSMUSG00000102869,0.780964506,0.011605888,0.123880952,0.123244651,0.690466773,1,0.557664349,0.071520994,0.631090715,-0.100055506,0.746459743,1,0
Rasd1,ENSMUSG00000049892,-0.791341501,0.111839288,0.401538337,0.09382476,0.850424079,1,-1.259011048,0.011416965,0.33994781,-0.373844787,0.452427014,1,0
Tsc22d3,ENSMUSG00000031431,0.792017205,0.013204303,0.132723974,-0.099135572,0.756548008,1,1.117286498,0.000474185,0.059982752,0.226133721,0.479332249,1,0
Phyh,ENSMUSG00000026664,0.399999379,0.023074564,0.179277769,0.281954941,0.109265467,0.962016865,0.063242379,0.719414491,0.973474862,-0.05480206,0.755586448,1,0
Rps13,ENSMUSG00000090862,0.47346563,0.082153839,0.345002589,0.323031821,0.235540875,0.974532838,-0.1146084,0.673876501,0.969635486,-0.265042209,0.330480789,1,0
Idh2,ENSMUSG00000030541,0.546388499,0.001380366,0.038678192,0.161879279,0.343545744,0.988173535,0.357069948,0.036624198,0.52901316,-0.027439272,0.872418166,1,0
Tmem259,ENSMUSG00000013858,0.304117419,0.075866221,0.331166766,0.18494426,0.280288063,0.980321319,-0.004707992,0.978077018,1,-0.123881151,0.469533021,1,0
Rpl36,ENSMUSG00000057863,0.217626656,0.30503359,0.646438838,0.640851576,0.002522943,0.49127032,-0.287456851,0.175424399,0.753431384,0.135768069,0.52227031,1,0
Trak1,ENSMUSG00000032536,0.723592745,0.018033299,0.1562944,0.244523069,0.424260406,1,0.396944597,0.194518491,0.771986159,-0.082125079,0.788413624,1,0
Rmnd5a,ENSMUSG00000002222,0.748134493,0.0504286,0.268054326,0.086374003,0.821337559,1,0.594697929,0.119946606,0.699810239,-0.06706256,0.860808432,1,0
Ube2r2,ENSMUSG00000036241,0.803453374,0.018019693,0.1562944,0.251021242,0.45998934,1,0.428057669,0.207622355,0.784133706,-0.124374464,0.714301652,1,0
Msrb3,ENSMUSG00000051236,0.658040765,0.01954798,0.163343137,-0.05922179,0.833586436,1,0.4672574,0.097356109,0.671019347,-0.250005155,0.375059142,1,0
Hspb8,ENSMUSG00000041548,1.030874869,0.003956047,0.068600281,0.114885966,0.74813951,1,0.686933638,0.054831826,0.595142794,-0.229055265,0.522051564,1,0
Prdx5,ENSMUSG00000024953,0.314984515,0.116882104,0.410377137,0.244291039,0.223797941,0.970397774,-0.146170435,0.466786416,0.925582934,-0.216863911,0.280233903,1,0
Tmem134,ENSMUSG00000024845,0.220917003,0.371793779,0.706290043,0.061643669,0.803152647,1,-0.100229393,0.685333292,0.970751507,-0.259502728,0.294004709,1,0
Rps3a2,ENSMUSG00000062611,0.959476864,0.043175078,0.247669707,-0.176326946,0.710222073,1,0.775893349,0.1020361,0.678716453,-0.359910461,0.448189545,1,0
Rpl17-ps10,ENSMUSG00000081895,0.295850205,0.177257789,0.504617665,0.143332176,0.513260985,1,-0.023358315,0.915166549,0.995455524,-0.175876344,0.422417841,1,0
Pbxip1,ENSMUSG00000042613,0.746164161,0.046079245,0.256453452,0.212235354,0.570541468,1,0.512692576,0.170533794,0.749518947,-0.021236231,0.954735132,1,0
Txn2,ENSMUSG00000005354,0.493905363,0.080309086,0.34039821,0.385168364,0.172573335,0.962016865,-0.058652994,0.835455717,0.98731927,-0.167389993,0.553376267,1,0
Klhl24,ENSMUSG00000062901,0.560184339,0.109278495,0.39715889,0.127153527,0.716252557,1,0.308070762,0.37849419,0.893909356,-0.12496005,0.720930959,1,0
Napa,ENSMUSG00000006024,0.572781265,0.005877265,0.084992832,0.096373842,0.643179395,1,0.421806802,0.042554093,0.555917256,-0.05460062,0.792923478,1,0
Atl2,ENSMUSG00000059811,0.830936582,0.007221316,0.094850976,-0.1604596,0.60400652,1,0.718278718,0.02023644,0.428076795,-0.273117464,0.377289888,1,0
Ube3b,ENSMUSG00000029577,1.0031417,0.005904442,0.0851113,0.156861784,0.666897272,1,0.688854366,0.05869411,0.60064652,-0.15742555,0.665768001,1,0
Alkbh5,ENSMUSG00000042650,0.84862699,0.021238297,0.171233964,0.053657346,0.884208455,1,0.617656647,0.093612163,0.669726707,-0.177312996,0.630315297,1,0
Rps27,ENSMUSG00000090733,0.177082204,0.610724514,0.861227259,0.500376569,0.150249593,0.962016865,-0.426637679,0.220003728,0.793917341,-0.103343315,0.766390247,1,0
Coa5,ENSMUSG00000026112,0.687531577,0.038795388,0.234995633,0.011732175,0.971876664,1,0.508618857,0.126384049,0.709150069,-0.167180546,0.615379959,1,0
Ubr3,ENSMUSG00000044308,1.024827449,0.004679223,0.074917709,-0.111183566,0.75900186,1,0.79316149,0.028606746,0.487159304,-0.342849525,0.344107431,1,0
Cab39,ENSMUSG00000036707,0.711825532,0.040823255,0.240408081,0.322381306,0.354395208,0.990913582,0.451994611,0.194050891,0.771986159,0.062550384,0.857392966,1,0
Tcp1,ENSMUSG00000068039,0.60394502,0.00490426,0.076404379,0.230488691,0.283228649,0.981184659,0.395278851,0.065624769,0.616745451,0.021822523,0.919061848,1,0
Marchf6,ENSMUSG00000039100,0.725534955,0.047591424,0.260185799,0.019647117,0.957226743,1,0.588661736,0.108022296,0.68319079,-0.117226103,0.748939167,1,0
Etf1,ENSMUSG00000024360,0.673246602,0.022544765,0.176692625,0.230588464,0.434725087,1,0.346973906,0.239761714,0.809576347,-0.095684232,0.74583147,1,0
Saraf,ENSMUSG00000031532,0.643356338,0.009476087,0.110556403,0.041739687,0.866386217,1,0.518976234,0.03640201,0.528959098,-0.082640417,0.738995955,1,0
Sypl1,ENSMUSG00000020570,0.867061188,0.001512838,0.040450651,0.141735031,0.604177755,1,0.552619966,0.043202471,0.558108415,-0.17270619,0.527584446,1,0
Fdft1,ENSMUSG00000021273,0.415562598,0.154999251,0.474811525,0.001287647,0.99648364,1,0.049994773,0.864154633,0.99209571,-0.364280178,0.212477825,1,0
Phb1,ENSMUSG00000038845,0.495901533,0.018600882,0.158909488,0.397892337,0.058929891,0.962016865,-0.083013913,0.693536289,0.972057351,-0.181023109,0.390300705,1,0
R3hdm2,ENSMUSG00000025404,0.58494571,0.046182086,0.256786721,0.133672631,0.648797362,1,0.52327894,0.074548278,0.634036928,0.072005862,0.806168361,1,0
Dnaja2,ENSMUSG00000031701,0.91149014,0.002258998,0.050764746,0.296685344,0.32038355,0.987423324,0.596251685,0.045754119,0.569863404,-0.018553111,0.950451198,1,0
Nek7,ENSMUSG00000026393,0.757595997,0.047842728,0.260843963,0.068996753,0.857010745,1,0.575977475,0.132503705,0.713062117,-0.112621769,0.768664192,1,0
Ppp1r1a,ENSMUSG00000022490,0.093819392,0.739790002,0.916737959,0.189294109,0.502611488,1,-0.360431485,0.201939391,0.778089548,-0.264956768,0.348095473,1,0
Maf,ENSMUSG00000055435,0.849821503,0.071276677,0.321300496,0.196720415,0.676316622,1,0.495837969,0.292617988,0.842279264,-0.157263118,0.738564193,1,0
Fech,ENSMUSG00000024588,0.736826883,0.021771358,0.173392293,0.273414007,0.394674342,1,0.422996146,0.1878049,0.764359048,-0.040416731,0.899870719,1,0
Nap1l4,ENSMUSG00000059119,0.840538879,0.00200046,0.047840084,0.123946459,0.648685561,1,0.475477008,0.080453148,0.646626194,-0.241115411,0.375478391,1,0
Rps21,ENSMUSG00000039001,0.208330209,0.351071503,0.689606112,0.468489758,0.035995008,0.915023213,-0.153381672,0.492358962,0.932618633,0.106777877,0.632693393,1,0
Ppp1r2,ENSMUSG00000047714,0.690001849,0.021738258,0.173326118,0.260741209,0.385995982,1,0.493035984,0.101075093,0.678716453,0.063775344,0.832062736,1,0
Clip1,ENSMUSG00000049550,1.083674166,0.006158363,0.086707815,0.148225417,0.707955405,1,0.736452042,0.062667549,0.612915638,-0.198996707,0.61502298,1,0
Rpl34-ps1,ENSMUSG00000068396,0.685213651,0.062255699,0.299990726,0.763414306,0.037882885,0.915023213,0.546811873,0.136814764,0.71728541,0.625012527,0.089155236,1,0
Tmem65,ENSMUSG00000062373,0.362174494,0.367965358,0.702860057,0.647590634,0.107458545,0.962016865,-0.143088922,0.722061316,0.973556369,0.142327218,0.723512397,1,0
Ctsk,ENSMUSG00000028111,-0.396022729,0.318757283,0.660746846,0.98961292,0.012720223,0.770139262,-0.760537741,0.055529129,0.595142794,0.625097909,0.115538712,1,0
Hint1,ENSMUSG00000020267,0.53221831,0.03758157,0.2317444,0.433959812,0.089975442,0.962016865,-0.002483279,0.99225776,1,-0.100741777,0.693911202,1,0
Cox7a2,ENSMUSG00000032330,0.530468476,0.009569818,0.111071832,0.412608055,0.043753904,0.927811833,-0.190386456,0.352195746,0.878290707,-0.308246876,0.132134991,1,0
5031439G07Rik,ENSMUSG00000036046,0.687920991,0.091555062,0.364472975,0.310925933,0.445799863,1,0.494219462,0.225473601,0.796838667,0.117224405,0.773755502,1,0
Nomo1,ENSMUSG00000030835,0.736733751,0.028156287,0.199173844,0.198240017,0.554809545,1,0.398513548,0.235083879,0.804273585,-0.139980187,0.67666952,1,0
Rpl35,ENSMUSG00000062997,0.226214086,0.335171912,0.674254288,0.576927675,0.01395859,0.785209487,-0.299227162,0.20230812,0.778468249,0.051486427,0.826374517,1,0
NA,ENSMUSG00000106106,0.520568555,0.550617189,0.829441148,1.235946566,0.156476909,0.962016865,0.100198866,0.908541167,0.994627617,0.815576877,0.349755775,1,0
Ptov1,ENSMUSG00000038502,0.50084857,0.011044327,0.12039323,0.390577329,0.047570683,0.946183188,0.122752951,0.533372165,0.94611521,0.012481711,0.949519105,1,0
Akr1b1,ENSMUSG00000001642,0.568389974,0.002039653,0.048281766,0.195021642,0.290108266,0.982279162,0.274776159,0.135976535,0.71728541,-0.098592173,0.592747078,1,0
Mtdh,ENSMUSG00000022255,0.596682524,0.024455226,0.18487821,0.136042245,0.608070172,1,0.376939565,0.155267404,0.736128692,-0.083700714,0.752340486,1,0
Hk2,ENSMUSG00000000628,0.83112755,0.029563479,0.203740318,-0.312416217,0.413518752,1,0.825959573,0.030616059,0.497887382,-0.317584194,0.405763685,1,0
Mbd3,ENSMUSG00000035478,0.520630567,0.026969506,0.195012965,0.283694257,0.228128676,0.971720422,0.132700538,0.57288154,0.955986646,-0.104235772,0.65791004,1,0
Riok3,ENSMUSG00000024404,0.710012189,0.014860253,0.141666166,0.295066567,0.31159837,0.984520323,0.460892296,0.113871657,0.690713748,0.045946673,0.874790858,1,0
Gpx4-ps2,ENSMUSG00000110841,0.378585931,0.059207778,0.292241639,0.012134385,0.951763236,1,0.026836007,0.893612558,0.993274476,-0.339615539,0.090443169,1,0
Serf2,ENSMUSG00000074884,0.243033992,0.306035924,0.64768514,0.22191826,0.349888967,0.98891856,-0.096176276,0.685436475,0.970751507,-0.117292008,0.621245801,1,0
Rpl39,ENSMUSG00000079641,0.019877966,0.929005955,0.984047185,0.470783036,0.034737047,0.915023213,-0.497957395,0.025596108,0.469295174,-0.047052325,0.832895956,1,0
Elob,ENSMUSG00000055839,0.554567193,0.03223539,0.211660566,0.266924109,0.302718432,0.982391778,0.176276937,0.496052697,0.934365234,-0.111366146,0.667205115,1,0
Abhd17a,ENSMUSG00000003346,0.412939344,0.067221377,0.311235149,0.358089492,0.112564846,0.962016865,0.08170603,0.717261414,0.973276298,0.026856178,0.905268894,1,0
Ulk2,ENSMUSG00000004798,0.631315757,0.045285698,0.254103394,-0.03930567,0.900846255,1,0.653488493,0.038281795,0.534074962,-0.017132934,0.956679349,1,0
Rbm3,ENSMUSG00000031167,0.123044925,0.625796347,0.869195532,0.240518875,0.340387143,0.988173535,-0.170126143,0.500178448,0.93571845,-0.052652193,0.83466627,1,0
Elovl6,ENSMUSG00000041220,-0.84599265,0.081203523,0.342579964,-0.8475188,0.080152197,0.962016865,-1.979249999,4.49E-05,0.011505027,-1.980776149,4.34E-05,0.033350687,0
Metap2,ENSMUSG00000036112,0.862621996,0.001094679,0.033802111,0.243199568,0.357493217,0.99159319,0.506518548,0.05521791,0.595142794,-0.11290388,0.669252732,1,0
Arih1,ENSMUSG00000025234,0.556123107,0.014080389,0.137383131,0.013682848,0.951851854,1,0.427818051,0.058992384,0.602660499,-0.114622208,0.612888033,1,0
