external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Gm38105,ENSMUSG00000104153,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm14173,ENSMUSG00000061272,-0.104237502,0.972214399,NA,-0.975729071,0.742054443,NA,0.087297339,0.976961746,NA,-0.784194229,0.78922922,1,0
Vstm2l,ENSMUSG00000037843,0,1,NA,-5.054860858,0.235346446,NA,0,1,NA,-5.388035194,0.205912569,1,0
Gm4984,ENSMUSG00000079871,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm15152,ENSMUSG00000081782,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gja6,ENSMUSG00000055691,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm37465,ENSMUSG00000102423,-2.998027702,0.484211691,NA,-4.589692346,0.281798004,NA,0,1,NA,-1.400966351,0.734970387,1,0
Gm30023,ENSMUSG00000104695,-0.437885035,0.920859741,NA,5.002087935,0.240541259,NA,-4.716893446,0.268414967,NA,0.723079524,0.869685502,1,0
Hsd3b9,ENSMUSG00000090817,-1.808838423,0.676451398,NA,-4.889662332,0.251172405,NA,0,1,NA,-2.89011698,0.489899225,1,0
Gm43568,ENSMUSG00000106365,0,1,NA,4.972404108,0.243377929,NA,-4.687209619,0.27147368,NA,0,1,1,0
Gm43560,ENSMUSG00000106057,-3.387537796,0.42829616,NA,-3.870815887,0.365283428,NA,0,1,NA,-0.292576599,0.943667949,1,0
Gm15577,ENSMUSG00000086708,-2.542139503,0.554382027,NA,-4.674760445,0.272863405,NA,0,1,NA,-1.941919047,0.640011054,1,0
Gm11841,ENSMUSG00000081593,-2.21540167,0.604826741,NA,-4.312870992,0.312252113,NA,1.152477252,0.793715072,NA,-0.944992071,0.819342751,1,0
Lexis1,ENSMUSG00000087192,0,1,NA,-5.105234714,0.230665668,NA,0,1,NA,-5.438409538,0.201658823,1,0
