external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
5730596B20Rik,ENSMUSG00000056468,-0.793766544,0.663890663,0.886241895,1.217410242,0.503103489,1,-1.798105709,0.324383289,0.865636496,0.213071077,0.906810774,1
Gm35082,ENSMUSG00000108866,0.041931297,0.991133159,1,0.648904234,0.863680142,1,0.993027183,0.792543742,0.98217269,1.60000012,0.671842135,1
Gm15991,ENSMUSG00000087266,-0.550326202,0.475341561,0.782991165,-0.680322295,0.389789729,1,0.916437445,0.247064677,0.812814642,0.786441352,0.307268213,1
4930539J05Rik,ENSMUSG00000097032,-2.002203419,0.321903166,0.662708599,-1.218517578,0.543897332,1,-1.155353997,0.568530585,0.955944075,-0.371668156,0.852775613,1
Mmrn1,ENSMUSG00000054641,3.155888311,0.098957313,0.377794875,-0.823149259,0.666136038,1,1.992976524,0.295619446,0.84472943,-1.986061045,0.299687353,1
4833445I07Rik,ENSMUSG00000103103,-2.289019843,0.162036619,0.485148539,2.331050931,0.155839389,0.962016865,-1.84637797,0.260045635,0.822203094,2.773692804,0.090825409,1
Gm17396,ENSMUSG00000079669,1.455496522,0.206265164,0.545135877,-0.854709986,0.456764053,1,0.922079381,0.42255285,0.91136714,-1.388127128,0.227561419,1
Slc12a8,ENSMUSG00000035506,0.345476211,0.843433161,0.956975208,1.127267589,0.520426659,1,-0.045866114,0.979079093,1,0.735925264,0.674826412,1
Gm20522,ENSMUSG00000092241,0.563639546,0.657295438,0.883223813,0.847398916,0.502429432,1,-0.774933018,0.540155641,0.948026216,-0.491173649,0.698700593,1
Cimap1d,ENSMUSG00000035963,4.657947266,0.034766724,0.221627049,1.098470852,0.61578729,1,1.759861509,0.419467458,0.910027113,-1.799614905,0.416619075,1
Gm17249,ENSMUSG00000097309,1.738302276,0.263896506,0.606069692,-0.374899765,0.808867704,1,0.625941053,0.686350212,0.970751507,-1.487260988,0.339076403,1
Gm49163,ENSMUSG00000115692,0.587122058,0.750616197,0.921379898,-0.584038791,0.750840936,1,-0.290520723,0.874839295,0.992227426,-1.461681572,0.427524084,1
Gm26813,ENSMUSG00000097819,3.11106109,0.002970295,0.058147963,0.553894841,0.590992514,1,0.991133194,0.332395022,0.870436498,-1.566033055,0.137778577,1
Suv39h2,ENSMUSG00000026646,-1.090260326,0.428223882,0.748624547,1.228113582,0.368178289,0.994259595,-1.856360862,0.176837492,0.753431384,0.462013045,0.735272538,1
Gm12350,ENSMUSG00000095588,0.023284723,0.973174802,0.996400642,0.814349147,0.237331753,0.974532838,-0.58253792,0.398534185,0.903548206,0.208526504,0.763016786,1
Abhd1,ENSMUSG00000006638,1.261333615,0.359222872,0.695110019,-0.314954866,0.818484097,1,0.512369056,0.708987784,0.973068887,-1.063919425,0.439160554,1
Gm12112,ENSMUSG00000081254,-0.182361133,0.861549401,0.962753403,0.613376568,0.557276867,1,-0.436359897,0.676629839,0.969635486,0.359377804,0.730796872,1
Dchs2,ENSMUSG00000102692,-1.44057741,0.413980501,0.738591812,-0.843971925,0.630054659,1,-0.953658856,0.589484339,0.959859179,-0.357053371,0.838171758,1
Gm42528,ENSMUSG00000107134,-2.623426474,0.063575062,0.302796283,-0.075347596,0.95665772,1,-1.960087578,0.167093734,0.745824385,0.587991299,0.670432365,1
Cxcl11,ENSMUSG00000060183,2.999567687,0.090643427,0.363140735,-1.327717309,0.446385781,1,0.610766932,0.726605749,0.973650488,-3.716518064,0.03571754,1
Gm44686,ENSMUSG00000108563,-1.24238935,0.383954388,0.716420439,-0.110445455,0.937874108,1,-1.054247912,0.460854592,0.925033514,0.077695983,0.956192131,1
K230015D01Rik,ENSMUSG00000110630,-0.912667033,0.585616537,0.848725106,1.096095625,0.506781135,1,-2.549051723,0.126607066,0.709150069,-0.540289065,0.744303895,1
Mns1,ENSMUSG00000032221,-0.758873994,0.546215338,0.826838885,0.475691776,0.70738572,1,0.136340037,0.914124024,0.995015457,1.370905807,0.276797515,1
Gm16062,ENSMUSG00000087249,4.142152866,0.018387051,0.158074567,-0.364834417,0.833259525,1,1.708996414,0.323181674,0.864271596,-2.797990869,0.111871933,1
Tmt1a3,ENSMUSG00000058057,-0.176605367,0.911540086,0.979901494,-1.282635377,0.422432202,1,1.2030571,0.452286979,0.922914514,0.09702709,0.951275891,1
Zan,ENSMUSG00000079173,-1.822657644,0.249738416,0.590682219,-0.930720033,0.55232691,1,-1.25019849,0.43119369,0.913469558,-0.358260879,0.818517734,1
Rps11-ps2,ENSMUSG00000081929,0.203095503,0.899871693,0.975132898,-0.097981501,0.951445066,1,-0.368340905,0.819373773,0.985302917,-0.669417909,0.677599679,1
Tdrd9,ENSMUSG00000054003,1.152805591,0.353515432,0.691301933,-1.055527729,0.397348747,1,1.317376783,0.290879302,0.840066782,-0.890956537,0.473285625,1
Gm29666,ENSMUSG00000100967,0.444980444,0.772815259,0.931012645,1.147275213,0.459640081,1,0.378252717,0.806310603,0.983635573,1.080547486,0.48578118,1
Gm13341,ENSMUSG00000083863,0.57969858,0.537479323,0.82197865,1.364738201,0.144113543,0.962016865,-0.867044444,0.352267827,0.878290707,-0.082004824,0.930652482,1
Nlgn3,ENSMUSG00000031302,-0.47817217,0.677909381,0.893632048,-1.640455566,0.153571539,0.962016865,0.288326424,0.803940594,0.983479313,-0.873956972,0.443047035,1
Gm5127,ENSMUSG00000073010,-0.239309696,0.856621501,0.961565634,0.101447983,0.938937984,1,-0.165164669,0.900935838,0.993522124,0.17559301,0.894330765,1
B230319C09Rik,ENSMUSG00000051844,-1.094597425,0.409491703,0.736011698,-0.065767737,0.960452261,1,-0.380723463,0.775156666,0.980672251,0.648106224,0.623574792,1
Dnah17,ENSMUSG00000033987,-2.576625199,0.016662762,0.150714286,-0.374389256,0.716085043,1,-2.185742652,0.043143567,0.558108415,0.016493291,0.987156985,1
Card14,ENSMUSG00000013483,0.452168344,0.695005039,0.90023334,-0.566628052,0.622224169,1,0.21540408,0.851950076,0.990031543,-0.803392316,0.484477546,1
Gm48701,ENSMUSG00000113841,0.167272101,0.884338346,0.970665309,-0.706324459,0.546268733,1,1.651721518,0.156621841,0.737449028,0.778124958,0.500329217,1
Gm49700,ENSMUSG00000116883,0.662743702,0.49757353,0.798252449,-0.089916476,0.926018721,1,-0.181178634,0.852247585,0.990031543,-0.933838812,0.33700942,1
Maneal,ENSMUSG00000042763,-0.356061901,0.842602214,0.956975208,-1.496171341,0.403974657,1,0.364290534,0.839566739,0.988361655,-0.775818906,0.664096679,1
Cd27,ENSMUSG00000030336,0.66878809,0.709898212,0.905423867,-3.179481978,0.083600421,0.962016865,3.498226663,0.056949513,0.598986842,-0.350043405,0.845633891,1
E230014E18Rik,ENSMUSG00000111514,0.393171256,0.783861333,0.936767839,-0.313843631,0.828483731,1,1.493474787,0.300785499,0.848896841,0.786459899,0.584640673,1
Kif19a,ENSMUSG00000010021,-1.334385941,0.447441789,0.762546033,0.760171328,0.664805484,1,-1.006818397,0.56701736,0.955944075,1.087738872,0.534723679,1
H2bc23,ENSMUSG00000069307,0.44195894,0.658089699,0.883312704,3.228834215,0.002105723,0.463510897,-0.29856443,0.764431125,0.980337312,2.488310846,0.018045503,1
Igfbp2,ENSMUSG00000039323,-4.004406525,0.037511587,0.231551732,2.919973424,0.100008187,0.962016865,-6.034173586,0.001677833,0.135144422,0.890206364,0.617036142,1
Mogat2,ENSMUSG00000052396,0.489455945,0.718344538,0.909379051,0.310359777,0.819942538,1,0.580107788,0.669631937,0.969089565,0.40101162,0.768250183,1
Tnfrsf26,ENSMUSG00000045362,-0.177104113,0.888326292,0.971846065,0.591919061,0.644059588,1,0.984488238,0.438242238,0.91560699,1.753511413,0.168165,1
Rec114,ENSMUSG00000074269,-0.256715112,0.825656376,0.951676864,-1.603280147,0.175764233,0.963672071,1.508747208,0.203624067,0.780564572,0.162182173,0.889072509,1
A430103D13Rik,ENSMUSG00000112096,0.679652948,0.571889086,0.843297404,1.258599493,0.298091553,0.982391778,0.06423013,0.957341548,0.998007965,0.643176674,0.595376814,1
Serpind1,ENSMUSG00000022766,3.90482023,0.031429832,0.209516634,1.492761027,0.401716758,1,0.029240634,0.986851482,1,-2.382818569,0.190589545,1
Cntn2,ENSMUSG00000053024,1.963746008,0.425423823,0.746740406,2.98539561,0.22587528,0.971458549,-0.891288188,0.716297222,0.973276298,0.130361414,0.958015668,1
Gm15535,ENSMUSG00000085527,2.304626415,0.119591394,0.41452902,0.70415978,0.633706911,1,0.790630447,0.590982844,0.959859179,-0.809836188,0.586061299,1
Stap1,ENSMUSG00000029254,-1.318198565,0.237574958,0.579460576,-0.183027049,0.870212357,1,-0.101298281,0.928346206,0.996737435,1.033873235,0.351540085,1
Gm44667,ENSMUSG00000109539,-0.354673359,0.772440209,0.93074841,-1.051251709,0.388481886,1,-0.21545021,0.860964876,0.990920486,-0.91202856,0.452991835,1
9430081H08Rik,ENSMUSG00000111088,0.815790569,0.611287589,0.861626241,0.266023951,0.869163465,1,1.183212213,0.462109801,0.925126966,0.633445594,0.694201028,1
Spata9,ENSMUSG00000021590,1.215689676,0.169979581,0.495031058,0.572536656,0.523232585,1,0.892998094,0.313594354,0.858025599,0.249845074,0.780508385,1
Unc93a,ENSMUSG00000067049,0.761225076,0.527309681,0.816501253,-0.857797964,0.477566771,1,0.952756477,0.430631867,0.913243431,-0.666266563,0.579727251,1
Plaat5,ENSMUSG00000024973,0.888933422,0.634394135,0.874066156,0.16629979,0.928915143,1,-0.203952089,0.912947068,0.995015457,-0.926585721,0.619836253,1
Zfp982,ENSMUSG00000078496,1.025982235,0.516436105,0.811277462,-0.309575711,0.843479472,1,-0.471401074,0.764467213,0.980337312,-1.80695902,0.251520782,1
2900089D17Rik,ENSMUSG00000087484,-0.94577306,0.442441934,0.758496058,-1.848861203,0.130406514,0.962016865,-0.178027581,0.885946085,0.992623792,-1.081115724,0.372554067,1
NA,ENSMUSG00000079511,-1.360627191,0.437518119,0.754922559,-0.160127784,0.927153772,1,-0.433492484,0.805210825,0.983635573,0.767006924,0.660468569,1
Gadl1,ENSMUSG00000056880,9.872181711,0.020122655,0.16605589,-6.247013702,0.141830598,0.962016865,9.538905,0.024726421,0.460972876,-6.580290413,0.121780995,1
Glns-ps1,ENSMUSG00000082100,-0.164850984,0.862785804,0.9629349,-1.905838788,0.051863857,0.960640117,1.719372783,0.080558591,0.646626194,-0.02161502,0.981848129,1
Gdf9,ENSMUSG00000018238,-6.99146038,0.000930806,0.030734311,-0.665448544,0.704955724,1,-7.15916114,0.000701491,0.078378562,-0.833149304,0.635303014,1
Gm12254,ENSMUSG00000085342,2.309012239,0.029950607,0.20413314,0.170680151,0.87178128,1,0.949780416,0.366807153,0.887266583,-1.188551672,0.266093676,1
Mir503hg,ENSMUSG00000087365,-2.590673883,0.051368537,0.27079692,-0.955585148,0.447305842,1,-2.836190714,0.0330088,0.513748849,-1.201101979,0.33922926,1
Gm6485,ENSMUSG00000089999,-1.310648845,0.245884907,0.587596915,1.925806987,0.090304498,0.962016865,-1.285333943,0.255863738,0.818749774,1.951121889,0.085668677,1
A230083G16Rik,ENSMUSG00000055818,1.191311673,0.41035096,0.736560591,-0.851631804,0.553007429,1,0.070870631,0.960765756,0.998007965,-1.972072846,0.171408588,1
Gm43437,ENSMUSG00000104965,0.582322363,0.726170714,0.911222807,0.753070936,0.654967659,1,1.611073993,0.334806836,0.871222244,1.781822566,0.28817178,1
Gm42748,ENSMUSG00000105742,-0.025587881,0.988680064,1,-0.545077859,0.761544724,1,-0.547075401,0.761528991,0.980337312,-1.066565378,0.552838685,1
5830432E09Rik,ENSMUSG00000097471,-0.823490919,0.678204269,0.893772247,-2.114088588,0.290899213,0.982279162,1.648374288,0.411054256,0.908186789,0.357776619,0.856689352,1
Sfmbt2,ENSMUSG00000061186,-0.772736846,0.592884185,0.852437396,0.571492161,0.697956034,1,1.067252951,0.464336452,0.925294484,2.411481957,0.098475196,1
Gm6710,ENSMUSG00000078887,-1.826145552,0.055408459,0.283086348,-1.313643937,0.166507231,0.962016865,-0.157160499,0.871708328,0.992190672,0.355341116,0.702111666,1
Baiap2l1,ENSMUSG00000038859,0.753419646,0.639651405,0.876417733,-1.864887762,0.246779682,0.974532838,1.041908724,0.518749418,0.941552615,-1.576398684,0.325918,1
Zfand4,ENSMUSG00000042213,-0.47566151,0.737565473,0.915491073,0.764159151,0.593611352,1,0.318017189,0.823429983,0.986184468,1.55783785,0.274773166,1
F10,ENSMUSG00000031444,0.598835137,0.756929799,0.924313884,1.278923618,0.502570155,1,-2.526306429,0.188047472,0.764394499,-1.846217948,0.3370864,1
AA914427,ENSMUSG00000103149,-0.999345953,0.557872993,0.834621934,1.821928744,0.280124,0.980321319,-2.748065969,0.106054597,0.68319079,0.073208728,0.96548747,1
Ms4a4b,ENSMUSG00000056290,-4.284289835,0.001454689,0.039703944,0.008091345,0.994481549,1,-4.430009892,0.001003464,0.094659651,-0.137628712,0.90626341,1
Rbm46,ENSMUSG00000033882,-0.345661398,0.812606937,0.945496423,-0.812040222,0.579684712,1,0.806442712,0.582780783,0.95907205,0.340063889,0.815352448,1
Gm3788,ENSMUSG00000094392,2.054488494,0.074163337,0.327077463,1.497834447,0.198944798,0.964930553,1.075582712,0.34756354,0.876371584,0.518928664,0.657781196,1
Rps15a-ps3,ENSMUSG00000084314,-0.284443293,0.77359606,0.931118924,-0.452994302,0.645615169,1,-0.123426743,0.901078328,0.993522124,-0.291977752,0.765941636,1
Tnfsf13os,ENSMUSG00000085890,-3.593828904,0.001332948,0.037840629,-0.829900906,0.378351466,0.997753492,-3.828350112,0.000636256,0.073571462,-1.064422114,0.258029587,1
1300014J16Rik,ENSMUSG00000112545,0.527715784,0.786754982,0.937208185,-0.574140123,0.768372599,1,0.343868935,0.860129998,0.990920486,-0.757986972,0.697301267,1
2810430I11Rik,ENSMUSG00000085766,-1.496503084,0.206046693,0.544902741,1.089364357,0.35454124,0.990913582,-1.436355088,0.225642595,0.796838667,1.149512353,0.327780706,1
Gm13807,ENSMUSG00000085852,0.022595898,0.989972574,1,-0.336017413,0.852796993,1,1.396899534,0.439490159,0.915828531,1.038286223,0.564460426,1
Cnksr2,ENSMUSG00000025658,0.4970885,0.821261571,0.950058867,1.366962998,0.535137562,1,-0.085929997,0.968837377,1,0.7839445,0.722168711,1
Psenen-ps,ENSMUSG00000056412,0.48134733,0.575728828,0.844772878,0.266205518,0.758066194,1,0.297739561,0.729673888,0.973671509,0.082597749,0.923728218,1
Gm16023,ENSMUSG00000086682,1.592262604,0.370761329,0.705660813,-1.259533252,0.481411711,1,2.21254682,0.215606134,0.7907656,-0.639249036,0.719685211,1
Gm43196,ENSMUSG00000107017,-0.484617656,0.708448332,0.904508705,-1.050917022,0.413242437,1,-0.54459402,0.674809175,0.969635486,-1.110893386,0.38633012,1
Cdca2,ENSMUSG00000048922,-1.467252498,0.307021929,0.648334307,2.32977444,0.092178274,0.962016865,-3.925828189,0.00588796,0.253508193,-0.12880125,0.926416926,1
3110070M22Rik,ENSMUSG00000074635,-0.319959799,0.781467165,0.934841174,-0.526067862,0.642981579,1,-0.967541834,0.400598213,0.903937418,-1.173649897,0.302070794,1
Gm5815,ENSMUSG00000046952,-1.837703706,0.231416558,0.571763933,0.530008065,0.721520857,1,-3.163337763,0.038797871,0.536224106,-0.795625992,0.593818267,1
Rpl28-ps3,ENSMUSG00000079942,-0.203660127,0.771034936,0.929992498,0.133917298,0.847150613,1,-0.355181545,0.612844458,0.962717931,-0.017604121,0.979722784,1
Runx3,ENSMUSG00000070691,-1.34971209,0.268737173,0.611104841,-1.287292127,0.29049705,0.982279162,-0.073048737,0.952744144,0.998007965,-0.010628774,0.992964686,1
Gm7467,ENSMUSG00000098449,2.271332394,0.153303036,0.473236364,-0.87124792,0.581195323,1,0.840609081,0.594830563,0.960656888,-2.301971232,0.14754026,1
Gm43703,ENSMUSG00000105699,0.630178881,0.565707405,0.839040526,1.752378017,0.115434585,0.962016865,0.0987884,0.928181465,0.996716286,1.220987536,0.273172668,1
Gm15853,ENSMUSG00000103400,-1.499882826,0.274582315,0.617637993,0.231317777,0.86405485,1,-1.867294819,0.173740515,0.75268865,-0.136094215,0.919766927,1
Pabpc1l,ENSMUSG00000054582,-3.445637742,0.043987571,0.250240501,0.821491434,0.621979676,1,-2.983412994,0.081645447,0.647264945,1.283716183,0.440249119,1
Gm35315,ENSMUSG00000109771,-0.389404966,0.803157492,0.943406599,0.643838579,0.681986299,1,0.230345154,0.883119494,0.992623792,1.263588699,0.419942459,1
Asgr1,ENSMUSG00000020884,0,1,1,3.359452194,0.393852493,1,-8.930165263,0.029571462,0.491068641,-6.0946157,0.138256845,1
Gm7664,ENSMUSG00000113428,3.303169335,0.002619191,0.054776663,-0.602680244,0.579391929,1,2.005519512,0.063715417,0.613007976,-1.900330068,0.084997563,1
Gm11007,ENSMUSG00000094475,0.210739529,0.782126117,0.935272638,0.08017527,0.914059947,1,-0.749350492,0.321057243,0.863218425,-0.879914751,0.240638919,1
Gm7598,ENSMUSG00000087390,0.484920672,0.536645785,0.821489873,-0.460949256,0.564605568,1,1.099785134,0.167477224,0.745824385,0.153915206,0.845207075,1
Gm44706,ENSMUSG00000108425,0.967642954,0.651880761,0.880898704,-1.688399691,0.431167129,1,1.05201447,0.624248717,0.964886085,-1.604028175,0.453944999,1
5830408C22Rik,ENSMUSG00000110148,-0.387690098,0.790251566,0.937977991,0.233273991,0.871695723,1,-1.266570807,0.383960925,0.897955461,-0.645606718,0.65551446,1
H2bc3,ENSMUSG00000075031,0.497166207,0.672550224,0.891496941,0.944215734,0.424629109,1,0.106081004,0.928127829,0.996715477,0.55313053,0.640055008,1
Gm9575,ENSMUSG00000083692,-0.202078647,0.7948486,0.939454766,-0.375435406,0.625412429,1,-0.268946649,0.730305291,0.973671509,-0.442303407,0.563636637,1
Trpm6,ENSMUSG00000024727,-7.519014738,4.45E-05,0.006757505,-0.471916475,0.740709926,1,-6.980969404,0.000154342,0.027705167,0.066128859,0.962903555,1
Gm33280,ENSMUSG00000102202,1.802145788,0.361024918,0.696409878,-2.719884898,0.171354877,0.962016865,2.881835546,0.147319537,0.730718532,-1.64019514,0.405706655,1
Sell,ENSMUSG00000026581,-1.161091129,0.272956154,0.616327736,-2.136591941,0.052472924,0.960874998,1.84494529,0.095684972,0.669936981,0.869444478,0.409126785,1
Bhlhe22,ENSMUSG00000025128,-1.187746769,0.436412381,0.754256063,-0.810094214,0.59354167,1,-0.637302263,0.677236704,0.969731792,-0.259649709,0.863728776,1
Calr4,ENSMUSG00000028558,0.857503997,0.461241552,0.771907,-0.119539245,0.919480902,1,1.575024878,0.179612048,0.755913056,0.597981636,0.610119932,1
Rps15a-ps5,ENSMUSG00000067058,-0.913329721,0.589614214,0.850259584,-0.834727145,0.622570085,1,0.259704653,0.878647029,0.992623792,0.338307229,0.8411691,1
Hoxaas3,ENSMUSG00000085696,-6.842147571,0.000108188,0.010960623,-0.442201137,0.737983902,1,-7.359357268,3.10E-05,0.009283899,-0.959410833,0.468281259,1
Gm17530,ENSMUSG00000103731,-0.018524733,0.990574775,1,0.16664746,0.915739949,1,0.517768459,0.741983343,0.976143829,0.702940652,0.654467257,1
Sros1,ENSMUSG00000112095,-7.118680454,5.59E-07,0.000401142,1.161028285,0.152305209,0.962016865,-7.966906669,2.04E-08,2.14E-05,0.31280207,0.700940433,1
Apof,ENSMUSG00000047631,7.282144784,0.052606351,0.274385422,4.291958403,0.231094982,0.974168293,-1.978026919,0.579416095,0.957974314,-4.9682133,0.187747578,1
Gm8162,ENSMUSG00000111548,-3.292912231,0.088793594,0.358533379,-2.059433484,0.274457222,0.977739803,-1.942273905,0.317977581,0.86109791,-0.708795157,0.705283629,1
Gm17112,ENSMUSG00000090873,-0.28413703,0.786166886,0.937208185,-0.559056661,0.59448105,1,0.286181146,0.786221619,0.98189601,0.011261514,0.991379528,1
Ucp1,ENSMUSG00000031710,-1.651827453,0.406803956,0.734179603,0.612492826,0.760434914,1,0.436557529,0.827341856,0.986316951,2.700877807,0.176562277,1
Gm33023,ENSMUSG00000110652,-0.887696694,0.548358938,0.828471321,0.956902246,0.518477781,1,-0.624118179,0.673576187,0.969635486,1.220480762,0.409356263,1
Stmn3,ENSMUSG00000027581,2.237155741,0.160723373,0.483086074,0.591236291,0.70971849,1,0.508348965,0.748322252,0.977569851,-1.137570486,0.476794253,1
Gm10051,ENSMUSG00000058905,1.206641595,0.279789244,0.622865391,1.472514728,0.193116918,0.964658317,0.603423426,0.588270924,0.959859179,0.869296558,0.443016408,1
4931422A03Rik,ENSMUSG00000046085,-1.008710146,0.431081216,0.750483299,-0.83371895,0.512399303,1,-0.521735143,0.685127667,0.970751507,-0.346743947,0.78433905,1
Parvaos,ENSMUSG00000085049,-0.385677156,0.764009329,0.926889982,0.081801149,0.948865372,1,-0.811850912,0.527265691,0.944544513,-0.344372606,0.787244638,1
Gm17193,ENSMUSG00000079645,-0.94399617,0.420758758,0.743689451,0.89134398,0.446359846,1,-0.934936891,0.425987247,0.912242912,0.90040326,0.441000998,1
Syt14,ENSMUSG00000016200,-0.648605635,0.759529713,0.925326912,-2.006842082,0.343424734,0.988173535,0.350026799,0.869292648,0.99209571,-1.008209648,0.632782102,1
NA,ENSMUSG00000097345,-1.364954057,0.508586911,0.80567183,-0.94327773,0.648103786,1,0.137277589,0.947200769,0.997699793,0.558953916,0.785994554,1
Gm14207,ENSMUSG00000074912,0.759474633,0.611940099,0.861851376,-1.837487082,0.219723294,0.97006561,0.97900849,0.514606142,0.940553702,-1.617953225,0.278178883,1
Padi3,ENSMUSG00000025328,0.587798924,0.720561442,0.909873092,-0.5404813,0.742096655,1,0.423152993,0.796919792,0.982551479,-0.705127232,0.667471898,1
Plb1,ENSMUSG00000029134,0.943126137,0.619205179,0.866314982,1.826317234,0.335009311,0.988173535,-1.023117334,0.58854451,0.959859179,-0.139926237,0.941315519,1
Gm44168,ENSMUSG00000108049,-0.952914976,0.654132578,0.882213101,-0.716415889,0.733501918,1,-1.981421266,0.350865086,0.87672082,-1.744922178,0.407631124,1
Gm16433,ENSMUSG00000043024,-0.590849383,0.492402419,0.794305883,0.867092088,0.303190981,0.982575613,-1.522097821,0.075471397,0.635349032,-0.064156351,0.939595524,1
Gm10273,ENSMUSG00000069622,1.169289009,0.197727684,0.533173943,0.63059767,0.487014462,1,0.22162252,0.805960876,0.983635573,-0.317068819,0.728319294,1
Cngb1,ENSMUSG00000031789,-0.85424514,0.458073312,0.769983089,0.826288803,0.475054249,1,-0.430208616,0.7096881,0.973276298,1.250325327,0.277947704,1
Gm9869,ENSMUSG00000052143,1.103549567,0.52369308,0.814632387,-0.28905051,0.866698889,1,-0.147132302,0.932035056,0.996802713,-1.539732379,0.372759286,1
Slc4a1,ENSMUSG00000006574,1.493347356,0.461204817,0.771907,2.16496988,0.290708041,0.982279162,1.05047806,0.604146979,0.962079529,1.722100584,0.400759299,1
Tfap2e,ENSMUSG00000042477,-0.521896121,0.732664876,0.91351318,0.366368926,0.809269125,1,-1.215834388,0.425694802,0.912242912,-0.327569341,0.829311462,1
F420014N23Rik,ENSMUSG00000097331,1.26629512,0.290554458,0.633384699,0.038750958,0.974528425,1,1.656708006,0.168967678,0.747786848,0.429163845,0.722255668,1
Gm5619,ENSMUSG00000099980,1.221876819,0.241802137,0.584210184,0.162057967,0.875161238,1,-0.178317035,0.863063141,0.991588789,-1.238135887,0.234552148,1
Gm15609,ENSMUSG00000086602,0.638587726,0.660468874,0.884185343,-1.522436223,0.293545037,0.982279162,0.538788522,0.711361232,0.973276298,-1.622235427,0.26227623,1
Gm30557,ENSMUSG00000107791,-2.061974541,0.150098475,0.469240909,0.136311863,0.923120287,1,-1.719051531,0.231270337,0.799604527,0.479234874,0.733792448,1
Scnn1b,ENSMUSG00000030873,-2.975514645,0.078624408,0.337053046,0.574234426,0.729449782,1,-2.561613947,0.130599327,0.712487207,0.988135124,0.551104193,1
Dctd,ENSMUSG00000031562,0.606262398,0.405935763,0.733350806,-0.77308775,0.288282665,0.982279162,0.535616438,0.465184795,0.925300479,-0.84373371,0.243938945,1
C9,ENSMUSG00000022149,-4.297816878,0.041802722,0.243536844,1.408532406,0.413544243,1,-8.58214492,3.74E-05,0.010379022,-2.875795636,0.101966364,1
Itpa-ps1,ENSMUSG00000081476,0.871283368,0.435872446,0.754198574,-0.854821319,0.453030827,1,1.940650175,0.086971837,0.661252595,0.214545488,0.848575139,1
Gm15751,ENSMUSG00000086753,-0.512394193,0.726844264,0.911222807,-0.461784976,0.750206122,1,-1.151222273,0.431999531,0.913806017,-1.100613057,0.448521407,1
Gls2,ENSMUSG00000044005,-1.656894568,0.310854789,0.651963306,1.687302392,0.289821786,0.982279162,-3.557645664,0.028927003,0.487528992,-0.213448704,0.893906003,1
Gm7162,ENSMUSG00000089817,-0.932946708,0.692984361,0.89940975,0.278402405,0.906504372,1,0.344157314,0.884471465,0.992623792,1.555506427,0.510702348,1
Amd-ps3,ENSMUSG00000060096,0.853584104,0.410402495,0.736560591,-0.160443141,0.877643796,1,0.797807429,0.442831376,0.91759958,-0.216219816,0.835221347,1
Map3k19,ENSMUSG00000051590,-1.71801406,0.321208743,0.662363752,2.036512364,0.241650939,0.974532838,-1.354036752,0.434917217,0.914777336,2.400489672,0.166998132,1
Plxnb3,ENSMUSG00000031385,0.758275913,0.530443562,0.817807063,-0.813601466,0.507292843,1,1.846122465,0.131002236,0.712487207,0.274245086,0.821185582,1
Spata22,ENSMUSG00000112920,0.342369929,0.738251875,0.915767336,-0.782042068,0.44306947,1,0.188212919,0.854512337,0.990920486,-0.936199077,0.357601613,1
Prss27,ENSMUSG00000050762,1.76331513,0.392811989,0.723886626,1.145150809,0.577970941,1,-0.188284546,0.927006873,0.996285359,-0.806448867,0.696359852,1
Pcdhb8,ENSMUSG00000045876,-0.316520896,0.874746945,0.967075353,-0.667080602,0.738201766,1,-0.966473167,0.630036808,0.966341626,-1.317032873,0.509643071,1
Gm1866,ENSMUSG00000082070,-0.519297751,0.608555809,0.860807361,0.46227415,0.646735858,1,-0.734079099,0.469496053,0.926612641,0.247492803,0.805998679,1
Rps12-ps9,ENSMUSG00000069862,0.087301718,0.911144597,0.979652531,0.79007963,0.299839257,0.982391778,-1.205724229,0.118679579,0.698583409,-0.502946317,0.514604181,1
Nkapl,ENSMUSG00000059395,-1.389594133,0.330478691,0.67095361,-0.07833413,0.955645505,1,-1.574240326,0.270558803,0.827063886,-0.262980323,0.851785723,1
Snhg10,ENSMUSG00000113722,1.91385935,0.309250521,0.650481657,-2.543325476,0.183891054,0.964658317,3.698130403,0.052997123,0.590844957,-0.759054423,0.687175493,1
Bdkrb2,ENSMUSG00000021070,-1.267876464,0.500476123,0.80022629,-2.993499899,0.120573528,0.962016865,2.504440139,0.195067525,0.771986159,0.778816704,0.678232728,1
Gpr21,ENSMUSG00000053164,1.495533415,0.410347364,0.736560591,-0.090741401,0.960075198,1,0.459932709,0.799670557,0.983271159,-1.126342107,0.53529692,1
Gm48882,ENSMUSG00000112593,1.183951467,0.390295014,0.721299618,0.164390562,0.905722307,1,1.298157084,0.347334241,0.876319302,0.278596179,0.840560541,1
