external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
2510039O18Rik,ENSMUSG00000044496,-0.303383819,0.199918429,0.535818982,0.115381557,0.625986382,1,-0.126483604,0.593395599,0.960320164,0.292281772,0.216567094,1
Jam2,ENSMUSG00000053062,-0.06392363,0.858248015,0.961641052,-0.275088975,0.442231188,1,0.232060796,0.516953016,0.941181856,0.020895451,0.95343043,1
Plekhm1,ENSMUSG00000034247,-0.478450649,0.018260882,0.157429869,-0.338069913,0.095136528,0.962016865,-0.155730299,0.443075098,0.917697927,-0.015349564,0.939501276,1
Sec22b,ENSMUSG00000027879,0.13635525,0.558178612,0.834690156,0.262897467,0.258796795,0.976047576,-0.14544303,0.532301375,0.945981409,-0.018900813,0.935286131,1
Rgmb,ENSMUSG00000048027,-0.086978271,0.735298164,0.914380491,0.155978638,0.544599239,1,0.100955042,0.694971329,0.972057351,0.343911951,0.181262143,1
Sav1,ENSMUSG00000021067,0.335640285,0.21765549,0.557173198,-0.212023928,0.436347007,1,0.410173049,0.132164843,0.713062117,-0.137491164,0.613514751,1
Magt1,ENSMUSG00000031232,-0.041177742,0.803200343,0.943406599,-0.204437563,0.216712586,0.97006561,0.274020753,0.098068945,0.672635909,0.110760932,0.502265419,1
Il6ra,ENSMUSG00000027947,-0.229964309,0.512731869,0.808825159,-0.310122439,0.377499593,0.997753492,0.202037061,0.565480178,0.955944075,0.121878931,0.728549203,1
Creb5,ENSMUSG00000053007,-0.411133229,0.149329252,0.467932086,-0.04193173,0.883142316,1,0.045419918,0.873555134,0.992227426,0.414621416,0.14573032,1
Sfxn3,ENSMUSG00000025212,-0.348018582,0.23808333,0.579990529,0.294590871,0.318073135,0.985989998,-0.189105084,0.521693962,0.941930429,0.45350437,0.12409359,1
Vps4a,ENSMUSG00000031913,0.374721565,0.112476973,0.402662625,0.245232776,0.299200751,0.982391778,0.179530481,0.447133151,0.919813452,0.050041693,0.832184305,1
Gstt2,ENSMUSG00000033318,-0.121290526,0.802003469,0.942817368,0.128033952,0.79122302,1,-0.224462711,0.642643911,0.968819509,0.024861767,0.95899932,1
Wdfy3,ENSMUSG00000043940,-0.313608518,0.187843236,0.519174615,-0.321571183,0.177066714,0.963672071,0.131810654,0.58043415,0.958222201,0.123847989,0.602640103,1
Esrra,ENSMUSG00000024955,0.907181958,0.008290943,0.102816864,0.545839411,0.112243685,0.962016865,0.238755179,0.487062948,0.930124465,-0.122587368,0.721400783,1
Spcs1,ENSMUSG00000021917,0.187113295,0.345837063,0.685405638,0.354548773,0.074000601,0.962016865,-0.145769249,0.462726642,0.925209009,0.021666229,0.913056802,1
Sh2b3,ENSMUSG00000042594,-0.233515543,0.223458303,0.563077898,-0.191363354,0.318791761,0.985989998,0.110498961,0.56529442,0.955944075,0.15265115,0.425599109,1
Ankrd13c,ENSMUSG00000039988,-0.053647128,0.770639136,0.929827815,0.049234258,0.789173599,1,0.052786618,0.774502561,0.980672251,0.155668004,0.397268528,1
Coasy,ENSMUSG00000001755,-0.329461288,0.298545049,0.640295397,-0.007144007,0.982001389,1,-0.49264159,0.120144478,0.699810239,-0.170324309,0.590605925,1
Ube2g1,ENSMUSG00000020794,1.00302216,0.010472588,0.116933034,0.547993596,0.162090178,0.962016865,0.4459479,0.255010831,0.817978921,-0.009080664,0.981519442,1
Rnf181,ENSMUSG00000055850,-0.035161163,0.870875472,0.966268272,-0.165736845,0.443345331,1,-0.048707721,0.821973756,0.986103063,-0.179283403,0.406642594,1
Atp11a,ENSMUSG00000031441,-0.096322292,0.646991935,0.879622958,-0.234406879,0.265459955,0.976047576,0.22456053,0.286425358,0.838360772,0.086475942,0.680746678,1
Nfkbia,ENSMUSG00000021025,0.551577968,0.039057319,0.235581152,-0.140739394,0.599040904,1,0.789740692,0.003158774,0.193958744,0.09742333,0.715635703,1
Phf3,ENSMUSG00000048874,-0.221209492,0.384912835,0.717266649,-0.315172014,0.215768963,0.97006561,0.073916876,0.77178342,0.980672251,-0.020045646,0.937183771,1
Acat2,ENSMUSG00000023832,-0.073844781,0.850885031,0.959808163,-0.169005263,0.666955675,1,-0.101235622,0.79666591,0.982551479,-0.196396105,0.61694819,1
Hmgcl,ENSMUSG00000028672,-0.085775707,0.686161305,0.896771083,0.028021642,0.894877434,1,-0.261854236,0.217550599,0.791626814,-0.148056888,0.484912555,1
Flnb,ENSMUSG00000025278,-0.618059398,0.0007435,0.026934234,0.162330509,0.375676551,0.997753492,-0.304626514,0.097006455,0.671019347,0.475763393,0.009295169,1
Sned1,ENSMUSG00000047793,-0.412461891,0.205170733,0.54392443,0.059224114,0.855596369,1,-0.3577079,0.272039354,0.828100668,0.113978105,0.726072746,1
Heph,ENSMUSG00000031209,-0.539908249,0.217405083,0.557009279,-0.886812531,0.042765726,0.920219202,0.155533035,0.722511012,0.973556369,-0.191371247,0.661767126,1
Ccn3,ENSMUSG00000037362,-0.881085742,0.031663734,0.210197073,-0.194761531,0.6349573,1,0.061678567,0.880529378,0.992623792,0.748002779,0.06804128,1
Herc1,ENSMUSG00000038664,0.097621886,0.749090733,0.920819175,-0.31892757,0.296227179,0.982391778,0.324249837,0.288397183,0.839622681,-0.092299619,0.762271126,1
Rpa1,ENSMUSG00000000751,0.598036341,0.016318159,0.148990439,0.068112222,0.78469437,1,0.594614517,0.017007814,0.401028715,0.064690398,0.795143294,1
Zfp740,ENSMUSG00000046897,0.102084197,0.646578146,0.879609201,-0.015911171,0.943028495,1,0.052933257,0.812183253,0.984640052,-0.065062112,0.769980829,1
Zfp36,ENSMUSG00000044786,-0.014125153,0.963611776,0.994595793,-0.429036645,0.166119669,0.962016865,0.469807698,0.129534796,0.712487207,0.054896206,0.859228811,1
Ranbp9,ENSMUSG00000038546,0.094371525,0.663873648,0.886241895,-0.200308308,0.356481542,0.991097614,0.200644886,0.355997593,0.880210237,-0.094034947,0.664787143,1
Papss1,ENSMUSG00000028032,-0.567133454,0.006246959,0.087039993,-0.200043543,0.334447116,0.988173535,-0.245526887,0.237180298,0.807130966,0.121563023,0.556920283,1
Atox1,ENSMUSG00000018585,-0.232642001,0.335968972,0.675024718,0.294906384,0.222095902,0.97006561,-0.527722578,0.029083254,0.487528992,-0.000174193,0.999424516,1
Pdgfrb,ENSMUSG00000024620,-0.588745101,0.015611263,0.145273047,0.216711762,0.373314442,0.996526123,-0.409000593,0.093277096,0.669726707,0.396456271,0.103101467,1
Gja1,ENSMUSG00000050953,-0.75012921,0.0297168,0.203949578,0.727029744,0.034951729,0.915023213,-1.137064691,0.000983363,0.094083397,0.340094263,0.323888255,1
Cnpy2,ENSMUSG00000025381,-0.338685731,0.142288803,0.456362515,0.010090196,0.965090455,1,-0.424938494,0.065748712,0.616786286,-0.076162566,0.741011289,1
